,categoria,titulo
91178,SAP,RE: [GLPI #0057933] RV: Disponibilidad de Vacaciones Arturo VÃ¡squez Alarcon (57945)
91326,SAP,RE: Solicitud cambio grupo cta y desbloqueo 17972341-7 Francisco Javier Pizarro Pizarro (57577)
91327,SAP,RE: Problemas OC (57514)
91398,SAP,RV: Request for SAP Authorization Transfer (56963)
91437,SAP,RE: Problemas VisaciÃ³n LN (57232)
91809,SAP,RE: Error en adjunto de OC (56684)
91894,SAP,RE: Problemas VisaciÃ³n LN (57217)
92293,SAP,Urgente - SAP TI (56403)
92563,SAP,RV: Acceso a 100 desarrollo (SAP TI) - Urgente (56476)
92676,SAP,"SAP- TI, Cuenta Contable ingresada no corresponde (56131)"
92944,SAP,PROBLEMAS PARA DESCARGAR BASE DE DATOS DESDE SAP (51277)
93286,SAP,SAP TI - Solicitud cambio grupo cuenta RUT 19.433.713-2 (55346)
93609,SAP,RE: Usuario ERP (55466)
94089,SAP,RE: Solicitud clave SAP AMBIENTE DESARROLLO (100) (55037)
94090,SAP,RE: Error PEP (54957)
94091,SAP,RE: Consulta SAP (55041)
94092,SAP,RE: Factura 1016 || IngenierÃ­a tapcon Melipilla. (55039)
94093,SAP,RE: acceso al mandate 210 (55040)
94094,SAP,RE: AutorizaciÃ³n proceso de fondo AFAB (Q&As) (55038)
94095,SAP,RE: Solicitud de desasociar o anular ingreso de Factura (54978)
95034,SAP,[DBA] Usuario SAP sin correo (53930)
95986,SAP,Notificaciones por Ingresos a SAP (40429)
100017,SAP,Temas pendientes para el termino de paso a PROD. del proyecto SLIM. (48777)
101078,SAP,RE: [GLPI #0047829] bloqueo para ingreso de sobretiempos (47831)
101082,SAP,bloqueo para ingreso de sobretiempos (47829)
102290,SAP,PROBLEMA DISTRIBUCIÃN DE DTE A CLIENTES EN CE (45781)
102787,SAP,RE: InstalaciÃ³n FO Punta Peuco (45791)
102864,SAP,RV: [GLPI #0042416] problemas visualizar doctos desde SAP (44448)
103259,SAP,Solicitud Usuario Acceso BPC (45398)
104021,SAP,problemas visualizar doctos desde SAP (42416)
104038,SAP,Solicitud permisos creaciÃ³n PEP en Grupo Chilquinta y Filiales (43756)
107773,SAP,[DBA]RE: Problemas con clave de SAP (40383)
108302,SAP,Ingreso de Viaticos (3648)
108394,SAP,problema en ingreso de viáticos (1882)
108424,SAP,Problemas en la emisión de documentos SAP (29)
108428,SAP,Problemas con SAP (2601)
108433,SAP,Problemas Recepción OC en SAP (2591)
108434,SAP,SAP Eliminar OC 2500097250 (2775)
108617,SAP,Problema para adjuntar en SAP (639)
110013,SAP,Problemas con plataforma portal SAP (2331)
